arma_dags,midgildi,medaltal,neysluverdsvisitala,year,tax1,tax2,tax3,kr1,kr2,pers_afsl,lif_sjod,vr,skattleysismork,skattur,utborgad,utborgad_fast
2003-08-01,201600,222756.9451637114,226.3,2003,0.3855,0.3855,0.3855,0,0,26825,0.04,0.01,72484.32771292694,47783.128,143736.872,635.1607247017233
2003-09-01,213500,233639.33963986812,227.9,2003,0.3855,0.3855,0.3855,0,0,26825,0.04,0.01,72484.32771292694,52187.08,150637.91999999998,660.9825362000877
2003-10-01,213400,235068.45697466086,229,2003,0.3855,0.3855,0.3855,0,0,26825,0.04,0.01,72484.32771292694,52150.072,150579.928,657.5542707423581
2003-11-01,234900,254420.03132794573,229.3,2003,0.3855,0.3855,0.3855,0,0,26825,0.04,0.01,72484.32771292694,60106.792,163048.20799999998,711.0693763628433
2003-12-01,216250,246422.69642857142,230,2003,0.3855,0.3855,0.3855,0,0,26825,0.04,0.01,72484.32771292694,53204.8,152232.7,661.8813043478261
2004-01-01,212900,238182.98673975465,230.1,2004,0.38580000000000003,0.38580000000000003,0.38580000000000003,0,0,27495.666666666668,0.04,0.01,74238.77512816082,51355.68053333333,150899.31946666667,655.7988677386644
2004-02-01,215000,237327.05442742145,229.4,2004,0.38580000000000003,0.38580000000000003,0.38580000000000003,0,0,27495.666666666668,0.04,0.01,74238.77512816082,52133.45333333334,152116.54666666666,663.1061319383899
2004-03-01,217200,239328.1874302526,230.7,2004,0.38580000000000003,0.38580000000000003,0.38580000000000003,0,0,27495.666666666668,0.04,0.01,74238.77512816082,52948.26293333333,153391.73706666665,664.8969963878052
2004-04-01,219400,242330.58149280222,232,2004,0.38580000000000003,0.38580000000000003,0.38580000000000003,0,0,27495.666666666668,0.04,0.01,74238.77512816082,53763.07253333334,154666.92746666668,666.6677908045978
2004-05-01,234100,253502.86899957267,233.9,2004,0.38580000000000003,0.38580000000000003,0.38580000000000003,0,0,27495.666666666668,0.04,0.01,74238.77512816082,59207.48213333334,163187.51786666666,697.680709134958
2004-06-01,218400,241775.1066672413,235.7,2004,0.38580000000000003,0.38580000000000003,0.38580000000000003,0,0,27495.666666666668,0.04,0.01,74238.77512816082,53392.70453333334,154087.29546666666,653.7432985433461
2004-07-01,216200,241056.93031141252,234.6,2004,0.38580000000000003,0.38580000000000003,0.38580000000000003,0,0,27495.666666666668,0.04,0.01,74238.77512816082,52577.89493333333,152812.10506666667,651.372996874112
2004-08-01,219200,240018.64073328863,234.6,2004,0.38580000000000003,0.38580000000000003,0.38580000000000003,0,0,27495.666666666668,0.04,0.01,74238.77512816082,53688.998933333336,154551.00106666668,658.7851707871555
2004-09-01,224900,245100.15227429022,235.6,2004,0.38580000000000003,0.38580000000000003,0.38580000000000003,0,0,27495.666666666668,0.04,0.01,74238.77512816082,55800.09653333333,157854.90346666667,670.012323712507
2004-10-01,234300,256598.03250641574,237.4,2004,0.38580000000000003,0.38580000000000003,0.38580000000000003,0,0,27495.666666666668,0.04,0.01,74238.77512816082,59281.55573333334,163303.44426666666,687.8830845268183
2004-11-01,247400,269952.68248950125,237.9,2004,0.38580000000000003,0.38580000000000003,0.38580000000000003,0,0,27495.666666666668,0.04,0.01,74238.77512816082,64133.37653333334,170896.62346666667,718.3548695530335
2004-12-01,232300,263268.6872083736,239,2004,0.38580000000000003,0.38580000000000003,0.38580000000000003,0,0,27495.666666666668,0.04,0.01,74238.77512816082,58540.81973333334,162144.18026666666,678.4275324965132
2005-01-01,232100,257961.72095092176,239.2,2005,0.3773,0.3773,0.3773,0,0,28320.5,0.04,0.01,78188.49942574433,55747.976800000004,164747.0232,688.7417357859532
2005-02-01,240600,264405.4620608208,239.7,2005,0.3773,0.3773,0.3773,0,0,28320.5,0.04,0.01,78188.49942574433,58826.7448,169743.2552,708.1487492699208
2005-03-01,239600,265980.21097046416,241.5,2005,0.3773,0.3773,0.3773,0,0,28320.5,0.04,0.01,78188.49942574433,58464.5368,169155.4632,700.436700621118
2005-04-01,242950,267584.49679210957,242,2005,0.3773,0.3773,0.3773,0,0,28320.5,0.04,0.01,78188.49942574433,59677.933600000004,171124.5664,707.1263074380166
2005-05-01,245800,267988.7813364261,240.7,2005,0.3773,0.3773,0.3773,0,0,28320.5,0.04,0.01,78188.49942574433,60710.2264,172799.77360000001,717.9051665974242
2005-06-01,234600,260257.2567379476,242.4,2005,0.3773,0.3773,0.3773,0,0,28320.5,0.04,0.01,78188.49942574433,56653.49680000001,166216.50319999998,685.7116468646864
2005-07-01,230050,256155.6411391348,242.7,2005,0.3773,0.3773,0.3773,0,0,28320.5,0.04,0.01,78188.49942574433,55005.4504,163542.0496,673.8444565306963
2005-08-01,231900,256900.59192050117,243.2,2005,0.3773,0.3773,0.3773,0,0,28320.5,0.04,0.01,78188.49942574433,55675.5352,164629.46480000002,676.930365131579
2005-09-01,246600,269288.6196333149,246.9,2005,0.3773,0.3773,0.3773,0,0,28320.5,0.04,0.01,78188.49942574433,60999.99280000001,173270.0072,701.7821271769947
2005-10-01,250000,272557.72173026105,248.4,2005,0.3773,0.3773,0.3773,0,0,28320.5,0.04,0.01,78188.49942574433,62231.5,175268.5,705.5897745571658
2005-11-01,282900,310545.3431008744,248,2005,0.3773,0.3773,0.3773,0,0,28320.5,0.04,0.01,78188.49942574433,74148.1432,194606.8568,784.7050677419355
2005-12-01,252700,287220.9789937254,248.9,2005,0.3773,0.3773,0.3773,0,0,28320.5,0.04,0.01,78188.49942574433,63209.46160000001,176855.5384,710.5485672961028
2006-01-01,256050,284094.03769481694,249.7,2006,0.36719999999999997,0.36719999999999997,0.36719999999999997,0,0,29028.583333333332,0.04,0.01,82347.78768760592,61232.11426666667,182015.38573333333,728.936266453077
2006-02-01,259800,289860.5692155273,249.5,2006,0.36719999999999997,0.36719999999999997,0.36719999999999997,0,0,29028.583333333332,0.04,0.01,82347.78768760592,62554.03426666667,184255.96573333332,738.5008646626586
2006-03-01,260500,290171.6883809863,252.3,2006,0.36719999999999997,0.36719999999999997,0.36719999999999997,0,0,29028.583333333332,0.04,0.01,82347.78768760592,62800.79266666666,184674.20733333332,731.9627718324745
2006-04-01,262700,291387.12058708584,255.2,2006,0.36719999999999997,0.36719999999999997,0.36719999999999997,0,0,29028.583333333332,0.04,0.01,82347.78768760592,63576.31906666666,185988.68093333335,728.7957716823407
2006-05-01,263900,289169.6209700255,258.9,2006,0.36719999999999997,0.36719999999999997,0.36719999999999997,0,0,29028.583333333332,0.04,0.01,82347.78768760592,63999.33346666666,186705.66653333334,721.1497355478307
2006-06-01,250350,280958.0703838444,261.9,2006,0.36719999999999997,0.36719999999999997,0.36719999999999997,0,0,29028.583333333332,0.04,0.01,82347.78768760592,59222.79586666667,178609.70413333335,681.9767244495356
2006-07-01,257800,290443.1544955842,263.1,2006,0.36719999999999997,0.36719999999999997,0.36719999999999997,0,0,29028.583333333332,0.04,0.01,82347.78768760592,61849.010266666664,183060.98973333335,695.7848336500697
2006-08-01,262000,290897.27843396383,264,2006,0.36719999999999997,0.36719999999999997,0.36719999999999997,0,0,29028.583333333332,0.04,0.01,82347.78768760592,63329.56066666666,185570.43933333334,702.9183308080809
2006-09-01,275000,302533.895977317,265.6,2006,0.36719999999999997,0.36719999999999997,0.36719999999999997,0,0,29028.583333333332,0.04,0.01,82347.78768760592,67912.21666666666,193337.78333333333,727.9284011044176
2006-10-01,276400,306221.7934307481,266.2,2006,0.36719999999999997,0.36719999999999997,0.36719999999999997,0,0,29028.583333333332,0.04,0.01,82347.78768760592,68405.73346666666,194174.26653333334,729.4300020035062
2006-11-01,301300,329140.4996090374,266.1,2006,0.36719999999999997,0.36719999999999997,0.36719999999999997,0,0,29028.583333333332,0.04,0.01,82347.78768760592,77183.28226666666,209051.71773333335,785.613369911061
2006-12-01,283700,322505.87214012886,266.2,2006,0.36719999999999997,0.36719999999999997,0.36719999999999997,0,0,29028.583333333332,0.04,0.01,82347.78768760592,70979.07106666666,198535.92893333334,745.8149095917857
2007-01-01,286400,319901.21818577335,266.9,2007,0.3572,0.3572,0.3572,0,0,32150,0.04,0.0085,93755.83240014932,66059.99680000001,206449.60319999998,773.5091914574747
2007-02-01,289400,321106.28319342126,268,2007,0.3572,0.3572,0.3572,0,0,32150,0.04,0.0085,93755.83240014932,67088.7328,208275.3672,777.1468925373134
2007-03-01,291600,323697.6029580518,267.1,2007,0.3572,0.3572,0.3572,0,0,32150,0.04,0.0085,93755.83240014932,67843.1392,209614.2608,784.7782134032196
2007-04-01,298400,333902.4891901367,268.7,2007,0.3572,0.3572,0.3572,0,0,32150,0.04,0.0085,93755.83240014932,70174.94080000001,213752.6592,795.5067331596576
2007-05-01,294300,323263.0094157851,271,2007,0.3572,0.3572,0.3572,0,0,32150,0.04,0.0085,93755.83240014932,68769.0016,211257.4484,779.5477800738007
